mission,scene_1,date_1,scene_2,date_2,year_1,year_2,path_1,path_2,frame_1,frame_2,orbit_direction_1,orbit_direction_2,beam_1,beam_2,polarization_1,polarization_2,look_direction_1,look_direction_2,temporal_baseline_days,season_difference_days,season_match_class,repeat_cycle_days,nearest_repeat_cycle_multiple,expected_repeat_cycle_days,repeat_cycle_difference_days,pair_status,metadata_missing,metadata_mismatches,priority_score
ALOS-2,ALOS2501480850-230905-WBSR1.1__A,2023-09-05T18:35:48+00:00,ALOS2558332750-240924-WBSR1.1__D,2024-09-24T06:51:01+00:00,2023,2024,159,54,850,2750,ASCENDING,DESCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,384.51056712962964,19,good seasonal match,14,27,378,6.510567129629635,REJECT_GEOMETRY,,path;frame;orbit_direction,
ALOS-2,ALOS2501480850-230905-WBSR1.1__A,2023-09-05T18:35:48+00:00,ALOS2558332800-240924-WBSR1.1__D,2024-09-24T06:51:41+00:00,2023,2024,159,54,850,2800,ASCENDING,DESCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,384.5110300925926,19,good seasonal match,14,27,378,6.511030092592591,REJECT_GEOMETRY,,path;frame;orbit_direction,
ALOS-2,ALOS2501480850-230905-WBSR1.1__A,2023-09-05T18:35:48+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06T18:42:05+00:00,2023,2024,159,160,850,800,ASCENDING,ASCENDING,WBS,WBD,HH,HH;HV,RIGHT,RIGHT,397.00436342592593,31,acceptable seasonal match,14,28,392,5.004363425925931,REJECT_GEOMETRY,,path;frame;beam_mode;polarization,
ALOS-2,ALOS2502960800-230915-WBSR1.1__A,2023-09-15T18:49:02+00:00,ALOS2550570800-240802-WBDR1.1__A,2024-08-02T18:49:03+00:00,2023,2024,161,161,800,800,ASCENDING,ASCENDING,WBS,WBD,HH,HH;HV,RIGHT,RIGHT,322.00001157407405,44,acceptable seasonal match,14,23,322,1.1574074051168282e-05,REJECT_GEOMETRY,,beam_mode;polarization,
ALOS-2,ALOS2502960800-230915-WBSR1.1__A,2023-09-15T18:49:02+00:00,ALOS2553230850-240820-WBDR1.1__A,2024-08-20T18:35:49+00:00,2023,2024,161,159,800,850,ASCENDING,ASCENDING,WBS,WBD,HH,HH;HV,RIGHT,RIGHT,339.99082175925923,26,good seasonal match,14,24,336,3.9908217592592337,REJECT_GEOMETRY,,path;frame;beam_mode;polarization,
ALOS-2,ALOS2502960800-230915-WBSR1.1__A,2023-09-15T18:49:02+00:00,ALOS2556780800-240913-WBSR1.1__A,2024-09-13T18:49:03+00:00,2023,2024,161,161,800,800,ASCENDING,ASCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,364.00001157407405,2,excellent seasonal match,14,26,364,1.1574074051168282e-05,COMPATIBLE,,,2
ALOS-2,ALOS2502960800-230915-WBSR1.1__A,2023-09-15T18:49:02+00:00,ALOS2556780850-240913-WBSR1.1__A,2024-09-13T18:49:43+00:00,2023,2024,161,161,800,850,ASCENDING,ASCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,364.00047453703706,2,excellent seasonal match,14,26,364,0.00047453703706423767,REJECT_GEOMETRY,,frame,
ALOS-2,ALOS2502960800-230915-WBSR1.1__A,2023-09-15T18:49:02+00:00,ALOS2558332750-240924-WBSR1.1__D,2024-09-24T06:51:01+00:00,2023,2024,161,54,800,2750,ASCENDING,DESCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,374.5013773148148,9,excellent seasonal match,14,27,378,3.4986226851851825,REJECT_GEOMETRY,,path;frame;orbit_direction,
ALOS-2,ALOS2502960800-230915-WBSR1.1__A,2023-09-15T18:49:02+00:00,ALOS2558332800-240924-WBSR1.1__D,2024-09-24T06:51:41+00:00,2023,2024,161,54,800,2800,ASCENDING,DESCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,374.5018402777778,9,excellent seasonal match,14,27,378,3.4981597222222263,REJECT_GEOMETRY,,path;frame;orbit_direction,
ALOS-2,ALOS2502960800-230915-WBSR1.1__A,2023-09-15T18:49:02+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06T18:42:05+00:00,2023,2024,161,160,800,800,ASCENDING,ASCENDING,WBS,WBD,HH,HH;HV,RIGHT,RIGHT,386.9951736111111,21,good seasonal match,14,28,392,5.004826388888887,REJECT_GEOMETRY,,path;beam_mode;polarization,
ALOS-2,ALOS2502960850-230915-WBSR1.1__A,2023-09-15T18:49:43+00:00,ALOS2550570800-240802-WBDR1.1__A,2024-08-02T18:49:03+00:00,2023,2024,161,161,850,800,ASCENDING,ASCENDING,WBS,WBD,HH,HH;HV,RIGHT,RIGHT,321.99953703703704,44,acceptable seasonal match,14,23,322,0.00046296296295622597,REJECT_GEOMETRY,,frame;beam_mode;polarization,
ALOS-2,ALOS2502960850-230915-WBSR1.1__A,2023-09-15T18:49:43+00:00,ALOS2553230850-240820-WBDR1.1__A,2024-08-20T18:35:49+00:00,2023,2024,161,159,850,850,ASCENDING,ASCENDING,WBS,WBD,HH,HH;HV,RIGHT,RIGHT,339.9903472222222,26,good seasonal match,14,24,336,3.9903472222222263,REJECT_GEOMETRY,,path;beam_mode;polarization,
ALOS-2,ALOS2502960850-230915-WBSR1.1__A,2023-09-15T18:49:43+00:00,ALOS2556780800-240913-WBSR1.1__A,2024-09-13T18:49:03+00:00,2023,2024,161,161,850,800,ASCENDING,ASCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,363.99953703703704,2,excellent seasonal match,14,26,364,0.00046296296295622597,REJECT_GEOMETRY,,frame,
ALOS-2,ALOS2502960850-230915-WBSR1.1__A,2023-09-15T18:49:43+00:00,ALOS2556780850-240913-WBSR1.1__A,2024-09-13T18:49:43+00:00,2023,2024,161,161,850,850,ASCENDING,ASCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,364.0,2,excellent seasonal match,14,26,364,0.0,COMPATIBLE,,,3
ALOS-2,ALOS2502960850-230915-WBSR1.1__A,2023-09-15T18:49:43+00:00,ALOS2558332750-240924-WBSR1.1__D,2024-09-24T06:51:01+00:00,2023,2024,161,54,850,2750,ASCENDING,DESCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,374.50090277777775,9,excellent seasonal match,14,27,378,3.4990972222222467,REJECT_GEOMETRY,,path;frame;orbit_direction,
ALOS-2,ALOS2502960850-230915-WBSR1.1__A,2023-09-15T18:49:43+00:00,ALOS2558332800-240924-WBSR1.1__D,2024-09-24T06:51:41+00:00,2023,2024,161,54,850,2800,ASCENDING,DESCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,374.50136574074077,9,excellent seasonal match,14,27,378,3.4986342592592337,REJECT_GEOMETRY,,path;frame;orbit_direction,
ALOS-2,ALOS2502960850-230915-WBSR1.1__A,2023-09-15T18:49:43+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06T18:42:05+00:00,2023,2024,161,160,850,800,ASCENDING,ASCENDING,WBS,WBD,HH,HH;HV,RIGHT,RIGHT,386.99469907407405,21,good seasonal match,14,28,392,5.005300925925951,REJECT_GEOMETRY,,path;frame;beam_mode;polarization,
ALOS-2,ALOS2504512750-230926-WBSR1.1__D,2023-09-26T06:51:01+00:00,ALOS2550570800-240802-WBDR1.1__A,2024-08-02T18:49:03+00:00,2023,2024,54,161,2750,800,DESCENDING,ASCENDING,WBS,WBD,HH,HH;HV,RIGHT,RIGHT,311.49863425925923,55,poor seasonal match,14,22,308,3.4986342592592337,REJECT_GEOMETRY,,path;frame;orbit_direction;beam_mode;polarization,
ALOS-2,ALOS2504512750-230926-WBSR1.1__D,2023-09-26T06:51:01+00:00,ALOS2553230850-240820-WBDR1.1__A,2024-08-20T18:35:49+00:00,2023,2024,54,159,2750,850,DESCENDING,ASCENDING,WBS,WBD,HH,HH;HV,RIGHT,RIGHT,329.4894444444444,37,acceptable seasonal match,14,24,336,6.510555555555584,REJECT_GEOMETRY,,path;frame;orbit_direction;beam_mode;polarization,
ALOS-2,ALOS2504512750-230926-WBSR1.1__D,2023-09-26T06:51:01+00:00,ALOS2556780800-240913-WBSR1.1__A,2024-09-13T18:49:03+00:00,2023,2024,54,161,2750,800,DESCENDING,ASCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,353.49863425925923,13,excellent seasonal match,14,25,350,3.4986342592592337,REJECT_GEOMETRY,,path;frame;orbit_direction,
ALOS-2,ALOS2504512750-230926-WBSR1.1__D,2023-09-26T06:51:01+00:00,ALOS2556780850-240913-WBSR1.1__A,2024-09-13T18:49:43+00:00,2023,2024,54,161,2750,850,DESCENDING,ASCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,353.49909722222225,13,excellent seasonal match,14,25,350,3.4990972222222467,REJECT_GEOMETRY,,path;frame;orbit_direction,
ALOS-2,ALOS2504512750-230926-WBSR1.1__D,2023-09-26T06:51:01+00:00,ALOS2558332750-240924-WBSR1.1__D,2024-09-24T06:51:01+00:00,2023,2024,54,54,2750,2750,DESCENDING,DESCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,364.0,2,excellent seasonal match,14,26,364,0.0,COMPATIBLE,,,3
ALOS-2,ALOS2504512750-230926-WBSR1.1__D,2023-09-26T06:51:01+00:00,ALOS2558332800-240924-WBSR1.1__D,2024-09-24T06:51:41+00:00,2023,2024,54,54,2750,2800,DESCENDING,DESCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,364.00046296296296,2,excellent seasonal match,14,26,364,0.00046296296295622597,REJECT_GEOMETRY,,frame,
ALOS-2,ALOS2504512750-230926-WBSR1.1__D,2023-09-26T06:51:01+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06T18:42:05+00:00,2023,2024,54,160,2750,800,DESCENDING,ASCENDING,WBS,WBD,HH,HH;HV,RIGHT,RIGHT,376.4937962962963,10,excellent seasonal match,14,27,378,1.5062037037037044,REJECT_GEOMETRY,,path;frame;orbit_direction;beam_mode;polarization,
ALOS-2,ALOS2504512800-230926-WBSR1.1__D,2023-09-26T06:51:41+00:00,ALOS2550570800-240802-WBDR1.1__A,2024-08-02T18:49:03+00:00,2023,2024,54,161,2800,800,DESCENDING,ASCENDING,WBS,WBD,HH,HH;HV,RIGHT,RIGHT,311.4981712962963,55,poor seasonal match,14,22,308,3.4981712962962774,REJECT_GEOMETRY,,path;frame;orbit_direction;beam_mode;polarization,
ALOS-2,ALOS2504512800-230926-WBSR1.1__D,2023-09-26T06:51:41+00:00,ALOS2553230850-240820-WBDR1.1__A,2024-08-20T18:35:49+00:00,2023,2024,54,159,2800,850,DESCENDING,ASCENDING,WBS,WBD,HH,HH;HV,RIGHT,RIGHT,329.48898148148146,37,acceptable seasonal match,14,24,336,6.51101851851854,REJECT_GEOMETRY,,path;frame;orbit_direction;beam_mode;polarization,
ALOS-2,ALOS2504512800-230926-WBSR1.1__D,2023-09-26T06:51:41+00:00,ALOS2556780800-240913-WBSR1.1__A,2024-09-13T18:49:03+00:00,2023,2024,54,161,2800,800,DESCENDING,ASCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,353.4981712962963,13,excellent seasonal match,14,25,350,3.4981712962962774,REJECT_GEOMETRY,,path;frame;orbit_direction,
ALOS-2,ALOS2504512800-230926-WBSR1.1__D,2023-09-26T06:51:41+00:00,ALOS2556780850-240913-WBSR1.1__A,2024-09-13T18:49:43+00:00,2023,2024,54,161,2800,850,DESCENDING,ASCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,353.49863425925923,13,excellent seasonal match,14,25,350,3.4986342592592337,REJECT_GEOMETRY,,path;frame;orbit_direction,
ALOS-2,ALOS2504512800-230926-WBSR1.1__D,2023-09-26T06:51:41+00:00,ALOS2558332750-240924-WBSR1.1__D,2024-09-24T06:51:01+00:00,2023,2024,54,54,2800,2750,DESCENDING,DESCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,363.99953703703704,2,excellent seasonal match,14,26,364,0.00046296296295622597,REJECT_GEOMETRY,,frame,
ALOS-2,ALOS2504512800-230926-WBSR1.1__D,2023-09-26T06:51:41+00:00,ALOS2558332800-240924-WBSR1.1__D,2024-09-24T06:51:41+00:00,2023,2024,54,54,2800,2800,DESCENDING,DESCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,364.0,2,excellent seasonal match,14,26,364,0.0,COMPATIBLE,,,3
ALOS-2,ALOS2504512800-230926-WBSR1.1__D,2023-09-26T06:51:41+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06T18:42:05+00:00,2023,2024,54,160,2800,800,DESCENDING,ASCENDING,WBS,WBD,HH,HH;HV,RIGHT,RIGHT,376.49333333333334,10,excellent seasonal match,14,27,378,1.5066666666666606,REJECT_GEOMETRY,,path;frame;orbit_direction;beam_mode;polarization,
